age,bias-question,gender,newsOutlet,politics,url,id,country_US,language_en,ind_politics,bias_sum,id_count,ratio
40,1,1.0,2,1.0,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis,179,1,1,0,6,6,1.0
34,1,1.0,2,0.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
35,1,1.0,2,0.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
45,1,1.0,2,2.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
21,1,0.0,2,1.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
24,1,1.0,2,0.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
42,1,0.0,2,1.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
40,1,1.0,2,0.0,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town,174,1,1,0,7,7,1.0
30,1,1.0,1,0.0,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html,126,1,1,0,6,6,1.0
33,1,0.0,1,1.0,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html,126,1,1,0,6,6,1.0
39,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60627276,53,0,1,0,2,2,1.0
27,1,0.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60627276,53,1,1,0,2,2,1.0
21,1,0.0,1,1.0,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html,126,1,1,0,6,6,1.0
36,1,1.0,1,0.0,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html,126,1,1,0,6,6,1.0
25,1,1.0,1,2.0,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html,126,1,1,0,6,6,1.0
28,1,1.0,1,1.0,https://www.cnn.com/2022/03/20/us/all-black-women-army-congressional-gold-medal/index.html,126,1,1,0,6,6,1.0
36,1,1.0,1,2.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
32,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60651587,56,1,1,0,1,1,1.0
30,1,1.0,1,2.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
26,1,1.0,1,0.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
54,1,1.0,1,0.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
31,1,1.0,1,0.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
48,1,0.0,1,1.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
25,1,1.0,1,2.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
25,1,1.0,1,0.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
39,1,0.0,2,1.0,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis,179,1,1,0,6,6,1.0
53,1,1.0,2,1.0,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis,179,1,1,0,6,6,1.0
43,1,0.0,2,1.0,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis,179,1,1,0,6,6,1.0
25,1,1.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-60758401,66,1,1,0,3,3,1.0
33,1,0.0,2,0.0,https://www.foxnews.com/us/florida-highway-patrol-dashcam,200,1,1,0,3,3,1.0
